1000, 0.02704, 0.005
2000, 0.01984, 0.005
3000, 0.01820, 0.005
4000, 0.01681, 0.005
5000, 0.01618, 0.005
6000, 0.01513, 0.005
7000, 0.01518, 0.005
8000, 0.01426, 0.005
9000, 0.01342, 0.005
10000, 0.01346, 0.005
11000, 0.01452, 0.02
12000, 0.01329, 0.02
13000, 0.01218, 0.02
14000, 0.01146, 0.02
15000, 0.01100, 0.02
16000, 0.01039, 0.02
17000, 0.01006, 0.02
18000, 0.01010, 0.02
19000, 0.00981, 0.02
20000, 0.00926, 0.02
21000, 0.00937, 0.02
22000, 0.00874, 0.02
23000, 0.00862, 0.02
24000, 0.00874, 0.02
25000, 0.00854, 0.02
26000, 0.00813, 0.02
27000, 0.00817, 0.02
28000, 0.00784, 0.02
29000, 0.00777, 0.02
30000, 0.00777, 0.02
31000, 0.00779, 0.02
32000, 0.00736, 0.02
33000, 0.00770, 0.02
34000, 0.00741, 0.02
35000, 0.00726, 0.02
36000, 0.00715, 0.02
37000, 0.00738, 0.02
38000, 0.00697, 0.02
39000, 0.00702, 0.02
40000, 0.00701, 0.02
41000, 0.00680, 0.02
42000, 0.00688, 0.02
43000, 0.00675, 0.02
44000, 0.00657, 0.02
45000, 0.00628, 0.02
46000, 0.00656, 0.02
47000, 0.00641, 0.02
48000, 0.00640, 0.02
49000, 0.00624, 0.02
50000, 0.00626, 0.02
51000, 0.00611, 0.02
52000, 0.00611, 0.02
53000, 0.00622, 0.02
54000, 0.00592, 0.02
55000, 0.00631, 0.02
56000, 0.00598, 0.02
57000, 0.00585, 0.02
58000, 0.00592, 0.02
59000, 0.00587, 0.02
60000, 0.00586, 0.02
61000, 0.00555, 0.02
62000, 0.00562, 0.02
63000, 0.00573, 0.02
64000, 0.00578, 0.02
65000, 0.00564, 0.02
66000, 0.00559, 0.02
67000, 0.00544, 0.02
68000, 0.00563, 0.02
69000, 0.00550, 0.02
70000, 0.00537, 0.02
71000, 0.00562, 0.02
72000, 0.00536, 0.02
73000, 0.00529, 0.02
74000, 0.00541, 0.02
75000, 0.00529, 0.02
76000, 0.00532, 0.02
77000, 0.00524, 0.02
78000, 0.00530, 0.02
79000, 0.00532, 0.02
80000, 0.00512, 0.02
81000, 0.00522, 0.02
82000, 0.00528, 0.02
83000, 0.00508, 0.02
84000, 0.00495, 0.02
85000, 0.00520, 0.02
86000, 0.00497, 0.02
87000, 0.00496, 0.02
88000, 0.00487, 0.02
89000, 0.00484, 0.02
90000, 0.00480, 0.02
91000, 0.00504, 0.02
92000, 0.00495, 0.02
93000, 0.00479, 0.02
94000, 0.00465, 0.02
95000, 0.00490, 0.02
96000, 0.00486, 0.02
97000, 0.00470, 0.02
98000, 0.00472, 0.02
99000, 0.00481, 0.02
100000, 0.00460, 0.02
101000, 0.00482, 0.02
102000, 0.00472, 0.02
103000, 0.00452, 0.02
104000, 0.00466, 0.02
105000, 0.00449, 0.02
106000, 0.00455, 0.02
107000, 0.00452, 0.02
108000, 0.00448, 0.02
109000, 0.00460, 0.02
110000, 0.00441, 0.02
111000, 0.00463, 0.02
112000, 0.00465, 0.02
113000, 0.00443, 0.02
114000, 0.00457, 0.02
115000, 0.00442, 0.02
116000, 0.00441, 0.02
117000, 0.00442, 0.02
118000, 0.00444, 0.02
119000, 0.00448, 0.02
120000, 0.00431, 0.02
121000, 0.00424, 0.02
122000, 0.00433, 0.02
123000, 0.00419, 0.02
124000, 0.00443, 0.02
125000, 0.00429, 0.02
126000, 0.00428, 0.02
127000, 0.00424, 0.02
128000, 0.00445, 0.02
129000, 0.00432, 0.02
130000, 0.00426, 0.02
131000, 0.00411, 0.02
132000, 0.00418, 0.02
133000, 0.00432, 0.02
134000, 0.00421, 0.02
135000, 0.00393, 0.02
136000, 0.00413, 0.02
137000, 0.00408, 0.02
138000, 0.00409, 0.02
139000, 0.00397, 0.02
140000, 0.00404, 0.02
141000, 0.00397, 0.02
142000, 0.00391, 0.02
143000, 0.00408, 0.02
144000, 0.00389, 0.02
145000, 0.00421, 0.02
146000, 0.00402, 0.02
147000, 0.00414, 0.02
148000, 0.00388, 0.02
149000, 0.00393, 0.02
150000, 0.00389, 0.02
151000, 0.00389, 0.02
152000, 0.00400, 0.02
153000, 0.00382, 0.02
154000, 0.00380, 0.02
155000, 0.00404, 0.02
156000, 0.00394, 0.02
157000, 0.00388, 0.02
158000, 0.00397, 0.02
159000, 0.00379, 0.02
160000, 0.00389, 0.02
161000, 0.00390, 0.02
162000, 0.00377, 0.02
163000, 0.00383, 0.02
164000, 0.00372, 0.02
165000, 0.00380, 0.02
166000, 0.00376, 0.02
167000, 0.00378, 0.02
168000, 0.00368, 0.02
169000, 0.00388, 0.02
170000, 0.00377, 0.02
171000, 0.00379, 0.02
172000, 0.00393, 0.02
173000, 0.00384, 0.02
174000, 0.00374, 0.02
175000, 0.00369, 0.02
176000, 0.00367, 0.02
177000, 0.00358, 0.02
178000, 0.00367, 0.02
179000, 0.00376, 0.02
180000, 0.00371, 0.02
181000, 0.00356, 0.02
182000, 0.00362, 0.02
183000, 0.00359, 0.02
184000, 0.00352, 0.02
185000, 0.00363, 0.02
186000, 0.00368, 0.02
187000, 0.00352, 0.02
188000, 0.00379, 0.02
189000, 0.00355, 0.02
190000, 0.00346, 0.02
191000, 0.00349, 0.02
192000, 0.00352, 0.02
193000, 0.00353, 0.02
194000, 0.00356, 0.02
195000, 0.00365, 0.02
196000, 0.00362, 0.02
197000, 0.00362, 0.02
198000, 0.00364, 0.02
199000, 0.00349, 0.02
200000, 0.00358, 0.02
