PRECISION,RECALL,F1,DISCRIMINATION THRESHOLDS
0.38804487554049316,1.0,0.559124394864239,0.0
0.3892145369284877,0.9998494202680319,0.5603139108054512,0.03125
0.3894199753680136,0.9998494202680319,0.5605267600877933,0.03133333333333333
0.3897628551303123,0.9998494202680319,0.5608818684799595,0.0315
0.3897857352509539,0.9998494202680319,0.5609055583713465,0.03155952380952381
0.3898315035519286,0.9998494202680319,0.5609529441581481,0.03158333333333333
0.3912787271655863,0.9998494202680319,0.5624497056456736,0.03166666666666666
0.39194852724160323,0.9998494202680319,0.5631413790178951,0.03166666666666667
0.3919716646989374,0.9998494202680319,0.5631652601670837,0.03172619047619048
0.391994804888128,0.9998494202680319,0.5631891433418151,0.03173809523809524
0.3920410934640137,0.9998494202680319,0.5632369157689372,0.03175
0.3920642418516769,0.9998494202680319,0.5632608050218433,0.03183333333333333
0.392110546828865,0.9998494202680319,0.5633085896076352,0.03183333333333334
0.39213370341935866,0.9998494202680319,0.5633324849410368,0.0319047619047619
0.39218002480656783,0.9998494202680319,0.5633802816901408,0.03191666666666666
0.3922031896042528,0.9998494202680319,0.5634041831063595,0.03196428571428571
0.3922958761668439,0.9998494202680319,0.5634998090550345,0.032
0.39231905465288036,0.9998494202680319,0.5635237206144446,0.03200000000000001
0.39299242424242425,0.9998494202680319,0.5642180396822024,0.03208333333333333
0.3931087561423243,0.9998494202680319,0.5643379228284889,0.03216666666666666
0.3932484453657092,0.9998494202680319,0.5644818498682309,0.03216666666666667
0.39329503050405734,0.9998494202680319,0.5645298418636286,0.03225
0.3933183272124156,0.9998494202680319,0.5645538409216512,0.03226190476190476
0.3933649289099526,0.9998494202680319,0.5646018451596446,0.03229166666666666
0.39338823390011257,0.9998494202680319,0.564625850340136,0.03232142857142857
0.3934814814814815,0.9998494202680319,0.5647218914781426,0.03233333333333333
0.3935048002844613,0.9998494202680319,0.5647459068679566,0.032357142857142855
0.3935281218514787,0.9998494202680319,0.5647699243004167,0.03239285714285714
0.39362143576975517,0.9998494202680319,0.5648660144619311,0.03241666666666667
0.3937381404174573,0.9998494202680319,0.5649861731546479,0.032499999999999994
0.3969867272509865,0.9998494202680319,0.5683228484615056,0.0325
0.39701046337817636,0.9998494202680319,0.5683471711033126,0.03255952380952381
0.39705794414877715,0.9998494202680319,0.5683958226331108,0.03258333333333333
0.39712918660287083,0.9998494202680319,0.5684688155472797,0.03266666666666666
0.3971766957770068,0.9998494202680319,0.5685174879061603,0.03266666666666667
0.39720045462702636,0.9998494202680319,0.5685418272112338,0.032678571428571425
0.3972242163196937,0.9998494202680319,0.5685661686004195,0.03270833333333333
0.397247980855519,0.9998494202680319,0.5685905120739853,0.032749999999999994
0.3973192915270464,0.9998494202680319,0.5686635550036397,0.03275
0.397343067440608,0.9998494202680319,0.5686879068174032,0.032785714285714286
0.39736684619988033,0.9998494202680319,0.5687122607168859,0.03283333333333333
0.3973906278053744,0.9998494202680319,0.5687366167023555,0.03283333333333334
0.39784301977231873,0.9998494202680319,0.5691997771205692,0.032916666666666664
0.3979145442560077,0.9998494202680319,0.5692729766803841,0.03291666666666667
0.39800995024875624,0.9998494202680319,0.5693706053850112,0.033
0.39803380889581585,0.9998494202680319,0.5693950177935944,0.033095238095238094
0.39820089955022486,0.9998494202680319,0.5695659632870131,0.033166666666666664
0.3982247810963176,0.9998494202680319,0.5695903924512117,0.03323809523809523
0.3982725527831094,0.9998494202680319,0.5696392570668726,0.03325
0.39829644292483957,0.9998494202680319,0.5696636925188745,0.033333333333333326
0.4006274888379389,0.9998494202680319,0.5720439371096273,0.03333333333333333
0.4006516623423641,0.9998494202680319,0.5720685793055915,0.03333333333333334
0.4007000181039165,0.9998494202680319,0.5721178700672066,0.03339285714285714
0.40072420036210016,0.9998494202680319,0.5721425186334066,0.033416666666666664
0.4007967646526227,0.9998494202680319,0.5722164770768701,0.03341666666666667
0.40082095858988287,0.9998494202680319,0.5722411341405611,0.03347619047619048
0.40094197210313387,0.9998494202680319,0.5723644513404017,0.0335
0.400990397970892,0.9998494202680319,0.5724137931034483,0.03357142857142857
0.4010146152917019,0.9998494202680319,0.5724384671753093,0.033583333333333326
0.4010630587098333,0.9998494202680319,0.5724878217010819,0.03358333333333333
0.40108728480821504,0.9998494202680319,0.5725125021555442,0.03369047619047619
0.40111151383351457,0.9998494202680319,0.5725371847380901,0.03371428571428572
0.4012569494802997,0.9998494202680319,0.5726853249385484,0.033749999999999995
0.40227795952986795,0.9998494202680319,0.573724456733054,0.03375
0.40232670867668446,0.9998494202680319,0.5737740332685246,0.033833333333333326
0.4024486332505,0.9998494202680319,0.5738980121002593,0.03383333333333333
0.40247302703357984,0.9998494202680319,0.5739228142962098,0.03391666666666667
0.40252182347235693,0.9998494202680319,0.5739724251199377,0.033928571428571426
0.40279041552926903,0.9998494202680319,0.5742454380351121,0.034
0.40281485076437756,0.9998494202680319,0.5742702702702702,0.03416666666666666
0.40426179604261797,0.9998494202680319,0.5757391832133877,0.034166666666666665
0.4049652311821398,0.9996988405360638,0.5764271760364662,0.03416666666666667
0.4049899347282377,0.9996988405360638,0.5764522010940348,0.03423809523809524
0.4051134976812302,0.9996988405360638,0.5765773589821529,0.034249999999999996
0.4051629439765654,0.9996988405360638,0.5766274373561472,0.03425
0.4051876716509002,0.9996988405360638,0.5766524798054373,0.03428571428571428
0.4053113553113553,0.9996988405360638,0.5767777246861562,0.034333333333333334
0.40533610110507357,0.9996988405360638,0.5768027801911382,0.034416666666666665
